secondarykey,Index Value
4.2,5549017
4.2,5880452
4.2,11905051
4.2,13018007
4.2,2459312
4.2,2064683
4.2,2457934
4.2,4954707
4.2,5141382
4.2,5064452
4.2,8734261
4.2,10813050
4.2,10932883
4.2,2618775
4.2,10930070
4.2,4947391
4.2,12240256
4.2,12285047
4.2,5139009
4.2,12289848
4.2,9285109
4.2,5108648
4.2,2668252
4.2,5937931
4.2,9207409
4.2,10836815
4.2,2116282
4.2,2513680
4.2,12212576
4.4,7658399
4.4,12190011
4.5,10105717
4.5,12672819
4.5,7224759
4.5,11965212
4.5,8059258
4.5,10682903
4.5,6945929
4.5,6230879
4.5,746707
4.5,7933871
4.5,1023453
4.5,10693999
4.5,5139293
4.5,2639615
4.5,9667921
4.5,9759192
4.5,12513126
4.5,6485162
4.5,5005332
4.5,710468
4.6,2612017
4.6,5506984
4.6,741162
4.6,6809586
4.6,3108041
4.6,9233161
4.6,4342099
4.6,611864
4.6,4423996
4.6,11182141
4.6,7089098
4.6,2220604
4.6,3258672
4.6,12982315
4.6,1502775
4.6,7026697
4.6,3106540
4.6,2083257
4.6,2239177
4.6,8909309
4.6,1302572
4.6,2220048
4.6,2109950
4.6,745013
4.6,7022837
4.6,1465305
4.6,1295209
4.6,7049935
4.6,2243020
4.6,7072893
4.6,12354681
4.6,9590082
4.6,8180715
4.6,10685130
4.6,124330
4.6,12675712
4.6,6759148
4.6,5518461
4.6,600835
4.6,10031587
4.6,1292335
4.6,3110791
4.6,11183613
4.6,9239567
4.6,2575026
4.6,717532
4.6,11184095
4.6,2847514
4.6,2847689
4.6,10026490
4.6,7040737
4.6,9583974
4.6,1483486
4.6,8184593
4.6,5307678
4.6,12107858
4.6,6762991
4.6,4925574
4.6,2816357
4.6,2219765
4.6,3267057
4.6,656729
4.6,6853356
4.6,3120424
4.6,9260995
4.6,2813398
4.6,8277327
4.6,3407826
4.6,2153145
4.6,8716033
4.6,12321136
4.6,1376431
4.6,9532367
4.6,30118
4.6,11223707
4.6,2826016
4.6,2162797
4.6,5396465
4.6,3399871
4.6,8937638
4.6,10070595
4.6,5429676
4.6,5443986
4.6,635915
4.6,642422
4.6,8289748
4.6,2601855
4.6,3407046
4.6,8926053
4.6,2136253
4.6,1403905
4.6,6855109
4.6,12986709
4.6,6880750
4.6,8309589
4.6,11212507
4.6,3122500
4.6,648921
4.6,2819579
4.6,3405880
4.6,629309
4.6,1444331
4.6,667120
4.6,3681199
4.6,1363068
4.6,2811678
4.6,2606057
4.6,1316297
4.6,9542072
4.6,8233640
4.6,1314368
4.6,2586831
4.6,6838174
4.6,116165
4.6,9246258
4.6,12345944
4.6,12993507
4.6,704657
4.6,11652025
4.6,2216400
4.6,2583159
4.6,2218365
4.6,8212045
4.6,4988575
4.6,10094475
4.6,11197036
4.6,1318315
4.6,10906540
4.6,11202928
4.6,1360403
4.6,10092975
4.6,3409995
4.6,11227130
4.6,4372018
4.6,12697757
4.6,6929805
4.6,2119514
4.6,3392151
4.6,6933112
4.6,9251412
4.6,684200
4.6,6941761
4.6,8919458
4.6,8318430
4.6,1330832
4.6,6953820
4.6,6954494
4.6,6959200
4.6,6969367
4.6,11580987
4.6,7093127
4.6,7608912
4.6,2988585
4.6,7994519
4.6,7614211
4.6,837652
4.6,3331810
4.6,7989907
4.6,1020201
4.6,2405359
4.6,9676723
4.6,5141560
4.6,7598305
4.6,3075340
4.6,7980809
4.6,11321711
4.6,1015658
4.6,7635820
4.6,1006370
4.6,5135639
4.6,12270476
4.6,848491
4.6,4140914
4.6,9693992
4.6,11327541
4.6,12290730
4.6,7592717
4.6,2984987
4.6,1050142
4.6,10868423
4.6,2954206
4.6,2535345
4.6,2955746
4.6,4195077
4.6,5038699
4.6,11524035
4.6,1099851
4.6,7495416
4.6,7506174
4.6,7513472
4.6,8015761
4.6,8014806
4.6,2967286
4.6,8013336
4.6,7536588
4.6,4177687
4.6,7549431
4.6,1062685
4.6,1057273
4.6,2390042
4.6,2981304
4.6,11317267
4.6,8004908
4.6,1050863
4.6,7956604
4.6,2348108
4.6,7697698
4.6,10801102
4.6,920169
4.6,9184062
4.6,63014
4.6,9736125
4.6,867241
4.6,7920538
4.6,12032049
4.6,12030834
4.6,7917399
4.6,3044574
4.6,907603
4.6,10825892
4.6,9730651
4.6,7815153
4.6,904091
4.6,3313377
4.6,11354135
4.6,7858447
4.6,11360496
4.6,2483832
4.6,7871750
4.6,11392469
4.6,7880505
4.6,11396983
4.6,905392
4.6,12276428
4.6,12776323
4.6,4106325
4.6,9697023
4.6,854010
4.6,10801776
4.6,2442341
4.6,7715251
4.6,854780
4.6,954826
4.6,952757
4.6,7728258
4.6,9203719
4.6,7737990
4.6,3027406
4.6,2453431
4.6,939228
4.6,938841
4.6,3315859
4.6,11331612
4.6,9701366
4.6,164902
4.6,49077
4.6,7765126
4.6,10815846
4.6,9740901
4.6,7769571
4.6,11340879
4.6,4015649
4.6,4316827
4.6,58779
4.6,8044612
4.6,2286552
4.6,11272999
4.6,3369137
4.6,7170185
4.6,5274628
4.6,2287775
4.6,83340
4.6,11274262
4.6,11279686
4.6,7187789
4.6,5266549
4.6,3102228
4.6,2873141
4.6,592453
4.6,11871723
4.6,2555096
4.6,7223975
4.6,7227401
4.6,9041479
4.6,1235937
